2021-05-06 00:00:00~2021-05-06 23:00:00,,2021-05-05~2021-05-05,
行为时间,App启动的用户数,行为时间,App启动的用户数
2021-05-06 00:00:00~2021-05-06 00:59:59,80,2021-05-05 00:00:00~2021-05-05 00:59:59,81
2021-05-06 01:00:00~2021-05-06 01:59:59,63,2021-05-05 01:00:00~2021-05-05 01:59:59,66
2021-05-06 02:00:00~2021-05-06 02:59:59,24,2021-05-05 02:00:00~2021-05-05 02:59:59,74
2021-05-06 03:00:00~2021-05-06 03:59:59,24,2021-05-05 03:00:00~2021-05-05 03:59:59,41
2021-05-06 04:00:00~2021-05-06 04:59:59,18,2021-05-05 04:00:00~2021-05-05 04:59:59,39
2021-05-06 05:00:00~2021-05-06 05:59:59,16,2021-05-05 05:00:00~2021-05-05 05:59:59,39
2021-05-06 06:00:00~2021-05-06 06:59:59,19,2021-05-05 06:00:00~2021-05-05 06:59:59,46
2021-05-06 07:00:00~2021-05-06 07:59:59,18,2021-05-05 07:00:00~2021-05-05 07:59:59,51
2021-05-06 08:00:00~2021-05-06 08:59:59,22,2021-05-05 08:00:00~2021-05-05 08:59:59,63
2021-05-06 09:00:00~2021-05-06 09:59:59,20,2021-05-05 09:00:00~2021-05-05 09:59:59,93
2021-05-06 10:00:00~2021-05-06 10:59:59,32,2021-05-05 10:00:00~2021-05-05 10:59:59,85
2021-05-06 11:00:00~2021-05-06 11:59:59,32,2021-05-05 11:00:00~2021-05-05 11:59:59,109
2021-05-06 12:00:00~2021-05-06 12:59:59,27,2021-05-05 12:00:00~2021-05-05 12:59:59,97
2021-05-06 13:00:00~2021-05-06 13:59:59,31,2021-05-05 13:00:00~2021-05-05 13:59:59,104
2021-05-06 14:00:00~2021-05-06 14:59:59,35,2021-05-05 14:00:00~2021-05-05 14:59:59,117
2021-05-06 15:00:00~2021-05-06 15:59:59,30,2021-05-05 15:00:00~2021-05-05 15:59:59,100
2021-05-06 16:00:00~2021-05-06 16:59:59,null,2021-05-05 16:00:00~2021-05-05 16:59:59,93
2021-05-06 17:00:00~2021-05-06 17:59:59,null,2021-05-05 17:00:00~2021-05-05 17:59:59,96
2021-05-06 18:00:00~2021-05-06 18:59:59,null,2021-05-05 18:00:00~2021-05-05 18:59:59,53
2021-05-06 19:00:00~2021-05-06 19:59:59,null,2021-05-05 19:00:00~2021-05-05 19:59:59,78
2021-05-06 20:00:00~2021-05-06 20:59:59,null,2021-05-05 20:00:00~2021-05-05 20:59:59,70
2021-05-06 21:00:00~2021-05-06 21:59:59,null,2021-05-05 21:00:00~2021-05-05 21:59:59,58
2021-05-06 22:00:00~2021-05-06 22:59:59,null,2021-05-05 22:00:00~2021-05-05 22:59:59,53
2021-05-06 23:00:00~2021-05-06 23:59:59,null,2021-05-05 23:00:00~2021-05-05 23:59:59,66
合计,483,合计,1704
